V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A', 'P'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A', 'P'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('t', 'u', 'A', 'P'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('C', 'A', 'P', 'u', 'D'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('C', 'A', 'P', 'u', 'D'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's')]; S_plus:('C', 'A', 'P', 'u', 'D'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('Q', 'u'), ('B', 's')]; S_plus:('r', 'Q', 'A'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('Q', 'u'), ('B', 's')]; S_plus:('r', 'Q', 'A'); T_star:[('B', 'C')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('Q', 'u'), ('B', 's')]; S_plus:('r', 'Q', 'A'); T_star:[('B', 'D')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's')]; S_plus:('t', 'Q', 'A', 'u'); T_star:[('B', 'A')]
V_star:['B']; S_minus:[('A', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's')]; S_plus:('t', 'Q', 'A', 'u'); T_star:[('B', 'C')]
